Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;;Querkräfte [kN/m];;Normalkräfte [kN/m];;;
;;;;;-0.57;-2.47;-89.82;0.31;0.58;-124.33;-67.15;-211.38;-89.60;15.03
1596;1;-0.850;1.050;-3.569;3.30;0.24;89.63;1.60;6.67;78.96;107.17;94.00;82.86;78.18
;;;;;-0.47;-2.28;-89.89;0.30;0.77;-114.70;-52.52;-206.38;-28.40;25.13
1597;1;-0.850;1.150;-3.589;2.79;-0.19;84.51;1.44;6.63;71.54;114.13;84.21;86.56;72.60
;;;;;-0.31;-2.07;-89.84;0.28;0.87;-98.04;-57.06;-201.10;-26.71;31.47
1598;1;-0.850;1.250;-3.609;2.32;-0.21;85.65;1.31;6.34;68.24;120.23;75.54;89.06;68.46
;;;;;-0.21;-1.85;-87.95;0.26;0.88;-97.56;-62.91;-195.66;-26.15;32.40
1599;1;-0.850;1.350;-3.628;1.87;-0.23;87.14;1.19;5.97;64.28;125.24;62.34;88.38;80.17
;;;;;-0.17;-1.63;-86.18;0.21;0.74;-96.96;-67.85;-190.18;-89.59;33.22
1600;1;-0.850;1.450;-3.648;1.48;-0.21;87.80;1.10;5.57;60.93;129.14;51.49;88.71;91.36
;;;;;-0.15;-1.43;-84.74;0.20;0.76;-96.74;-72.21;-184.75;-90.00;33.85
1601;1;-0.850;1.550;-3.668;1.20;-0.22;89.25;1.10;5.17;57.38;131.92;40.90;78.24;101.58
;;;;;-0.15;-1.35;-83.30;0.18;0.77;-96.50;-75.65;-179.31;-89.49;29.50
1602;1;-0.850;1.650;-3.687;1.24;-0.23;87.91;1.24;4.94;56.32;133.80;-39.14;79.02;110.61
;;;;;-0.17;-1.65;-89.54;0.16;0.79;-102.50;-78.21;-173.91;-87.75;27.83
1603;1;-0.850;1.750;-3.707;1.26;-0.24;88.29;1.41;4.70;55.72;135.00;-40.12;80.58;118.22
;;;;;-0.19;-1.96;-88.54;0.15;0.81;-117.50;-80.18;-168.61;-85.98;28.20
1604;1;-0.850;1.850;-3.727;1.22;-0.25;88.50;1.60;4.35;53.70;135.51;-41.09;82.50;123.83
;;;;;-0.20;-2.29;-87.82;0.13;0.81;-123.16;-81.30;-163.42;-84.02;28.32
1605;1;-0.850;1.950;-3.746;1.28;-0.26;88.43;1.80;3.95;50.79;135.29;-42.00;84.70;126.80
;;;;;-0.22;-2.63;-89.31;0.12;0.81;-127.83;-81.26;-158.32;-81.74;28.11
1606;1;-0.950;0.050;-3.397;5.61;-0.49;89.14;4.98;26.50;177.64;57.03;-89.64;70.83;167.30
;;;;;0.62;-4.86;-84.72;0.81;5.05;-167.57;-68.45;-351.77;-48.96;43.89
1607;1;-0.950;0.150;-3.416;6.93;-0.40;89.20;5.15;16.39;176.26;70.26;-73.12;67.00;139.80
;;;;;0.51;-3.82;-89.52;0.73;1.53;-176.18;-55.83;-304.68;-45.40;36.03
1608;1;-0.950;0.250;-3.435;6.76;-0.36;88.04;4.25;11.10;178.08;82.66;-60.31;87.64;117.30
;;;;;-0.27;-2.95;-89.22;0.42;1.39;-179.17;-47.43;-266.07;-42.71;30.29
1609;1;-0.950;0.350;-3.454;6.36;-0.22;89.13;3.51;7.25;179.18;89.09;-50.52;63.10;99.47
;;;;;-0.52;-2.71;-87.78;0.39;0.97;-176.62;-46.50;-233.22;-79.97;26.06
1610;1;-0.950;0.450;-3.473;5.96;0.17;87.61;3.01;4.84;174.36;98.04;57.80;40.68;99.09
;;;;;-0.80;-2.72;-89.08;0.35;0.85;-173.39;-46.29;-210.39;-88.53;22.79
1611;1;-0.950;0.550;-3.492;5.32;0.41;87.05;2.53;2.84;172.29;107.66;66.67;37.15;95.79
;;;;;-0.81;-2.63;-86.94;0.27;0.55;-163.83;-49.87;-210.64;-85.89;19.52
1612;1;-0.950;0.650;-3.511;4.86;0.50;86.30;2.25;3.59;179.62;112.36;75.32;37.18;91.80
;;;;;-0.74;-2.59;-84.13;0.34;0.38;-179.20;-56.17;-210.06;-63.73;19.20
1613;1;-0.950;0.750;-3.530;4.34;0.47;87.32;2.00;4.98;169.68;113.62;83.84;46.28;86.90
;;;;;-0.69;-2.51;-83.02;0.32;0.29;-171.93;-58.63;-208.04;-59.60;17.82
1614;1;-0.950;0.850;-3.550;3.81;0.40;88.47;1.78;6.19;172.88;110.35;91.75;56.91;81.65
;;;;;-0.63;-2.38;-81.53;0.30;0.44;-169.27;-59.15;-204.90;-52.24;18.14
1615;1;-0.950;0.950;-3.569;3.30;0.28;89.94;1.58;6.71;167.69;106.93;97.28;66.80;76.28
;;;;;-0.58;-2.23;-89.41;0.29;0.70;-126.94;-62.54;-201.07;-30.77;18.44
1616;1;-0.950;1.050;-3.588;2.80;-0.19;88.90;1.41;6.69;110.79;109.82;93.73;75.17;70.99
;;;;;-0.50;-2.06;-89.89;0.27;0.83;-119.48;-54.86;-196.76;-28.35;28.34
1617;1;-0.950;1.150;-3.607;2.32;-0.21;89.29;1.25;6.48;94.26;115.18;85.12;80.12;65.83
;;;;;-0.34;-1.87;-89.91;0.25;0.87;-97.04;-61.32;-192.05;-25.58;30.78
1618;1;-0.950;1.250;-3.626;1.88;-0.23;87.48;1.12;6.15;71.11;120.12;75.07;83.29;67.18
;;;;;-0.20;-1.67;-89.74;0.23;0.88;-95.10;-66.91;-187.11;-22.09;31.76
1619;1;-0.950;1.350;-3.645;1.46;-0.25;89.05;1.00;5.78;66.46;124.10;64.46;85.55;77.67
;;;;;-0.18;-1.48;-87.72;0.22;0.88;-94.93;-71.68;-182.01;-23.96;32.61
1620;1;-0.950;1.450;-3.664;1.10;-0.24;83.16;1.08;5.39;62.45;127.10;53.98;87.33;87.79
;;;;;-0.18;-1.29;-89.77;0.18;0.77;-94.88;-75.88;-176.88;-26.34;28.90
1621;1;-0.950;1.550;-3.683;1.13;-0.24;84.17;1.21;5.08;59.67;129.18;43.66;88.99;97.06
;;;;;-0.19;-1.56;-88.69;0.16;0.79;-95.13;-79.27;-171.67;-84.88;29.32
1622;1;-0.950;1.650;-3.702;1.20;-0.25;85.33;1.36;4.86;58.81;130.60;-38.83;89.47;105.38
;;;;;-0.21;-1.85;-87.81;0.15;0.82;-96.98;-82.05;-166.44;-89.42;27.79
1623;1;-0.950;1.750;-3.721;1.24;-0.27;86.30;1.54;4.52;56.20;131.37;-40.01;73.68;112.22
;;;;;-0.26;-2.15;-87.25;0.13;0.83;-103.33;-84.26;-161.21;-89.82;28.15
1624;1;-0.950;1.850;-3.740;1.22;-0.28;87.03;1.72;4.11;52.50;131.39;-41.18;75.94;116.88
;;;;;-0.26;-2.45;-87.18;0.12;0.82;-111.21;-85.60;-155.92;-87.43;28.23
1625;1;-0.950;1.950;-3.759;1.18;-0.29;86.13;1.92;3.71;48.96;130.68;-42.34;78.30;118.87
;;;;;-0.48;-2.77;-88.01;0.10;0.81;-117.69;-85.87;-150.59;-84.77;27.98
1626;1;-1.050;0.050;-3.422;5.03;-0.38;87.97;4.48;20.23;170.34;58.93;-68.58;69.58;161.65
;;;;;0.66;-4.30;-87.04;0.72;2.62;-179.67;-59.11;-341.95;-45.50;40.96
1627;1;-1.050;0.150;-3.440;5.90;-0.37;89.24;4.44;13.34;175.18;75.64;-68.15;61.50;136.88
;;;;;0.49;-3.17;-52.74;0.59;1.40;-178.20;-48.03;-299.01;-44.29;33.55
1628;1;-1.050;0.250;-3.459;5.84;-0.29;89.74;3.68;9.74;175.89;85.89;-56.38;87.98;116.91
;;;;;-0.14;-2.37;-89.48;0.38;1.30;-176.51;-43.15;-264.46;-68.01;28.40
1629;1;-1.050;0.350;-3.477;5.59;-0.15;88.32;3.12;6.61;179.50;90.65;48.70;46.26;99.32
;;;;;-0.31;-2.37;-88.78;0.34;0.99;-177.82;-42.64;-234.60;-65.34;24.62
1630;1;-1.050;0.450;-3.495;5.10;-0.12;87.00;2.61;4.17;176.28;94.32;57.12;42.22;87.19
;;;;;-0.60;-2.37;-89.71;0.30;0.53;-170.21;-42.81;-208.24;-79.86;21.78
1631;1;-1.050;0.550;-3.514;4.68;0.22;83.58;2.29;3.91;179.77;106.12;65.24;38.66;85.52
;;;;;-0.67;-2.37;-88.74;0.25;0.56;-171.63;-46.54;-194.87;-56.13;19.55
1632;1;-1.050;0.650;-3.532;4.21;0.28;84.38;2.02;5.04;172.60;112.76;73.17;37.61;82.28
;;;;;-0.68;-2.32;-87.46;0.23;0.43;-179.45;-51.99;-195.75;-51.98;18.93
1633;1;-1.050;0.750;-3.551;3.74;0.27;85.32;1.80;6.13;171.95;115.27;80.47;44.81;78.20
;;;;;-0.66;-2.25;-85.82;0.24;0.39;-176.28;-56.37;-194.96;-46.38;19.98
1634;1;-1.050;0.850;-3.569;3.26;0.21;86.47;1.59;6.71;156.23;115.09;86.44;50.02;73.67
;;;;;-0.63;-2.15;-84.07;0.24;0.65;-177.36;-53.48;-193.03;-37.62;18.05
1635;1;-1.050;0.950;-3.588;2.78;-0.18;88.90;1.40;6.71;163.30;113.99;89.62;61.33;68.89
;;;;;-0.58;-2.01;-82.02;0.25;0.79;-142.10;-52.28;-190.06;-30.44;18.43
1636;1;-1.050;1.050;-3.606;2.31;-0.20;89.83;1.23;6.50;166.38;114.69;88.20;68.95;64.04
;;;;;-0.51;-1.85;-89.34;0.25;0.85;-121.86;-58.25;-186.33;-27.01;19.88
1637;1;-1.050;1.150;-3.625;1.87;-0.24;88.00;1.08;6.30;173.94;117.49;82.52;73.49;59.27
;;;;;-0.34;-1.68;-89.44;0.26;0.90;-115.61;-64.29;-182.23;-21.01;29.93
1638;1;-1.050;1.250;-3.643;1.46;-0.25;89.67;0.95;5.88;176.79;119.81;74.21;77.41;66.47
;;;;;-0.23;-1.51;-89.99;0.21;0.87;-98.75;-69.59;-177.79;-19.78;27.28
1639;1;-1.050;1.350;-3.661;1.09;-0.27;89.49;1.05;5.52;68.65;121.64;64.75;80.26;75.60
;;;;;-0.20;-1.34;-89.80;0.19;0.87;-141.60;-74.16;-173.15;-21.52;27.96
1640;1;-1.050;1.450;-3.680;0.94;-0.29;85.52;1.17;5.20;64.74;123.50;54.96;82.53;84.50
;;;;;-0.22;-1.50;-88.50;0.17;0.87;-93.48;-78.18;-168.28;-23.88;28.51
1641;1;-1.050;1.550;-3.698;1.05;-0.27;86.26;1.31;4.96;63.02;124.88;45.18;84.60;92.79
;;;;;-0.25;-1.77;-86.40;0.15;0.82;-94.14;-81.59;-163.31;-26.71;26.68
1642;1;-1.050;1.650;-3.717;1.14;-0.28;86.75;1.47;4.64;60.12;125.77;-38.40;89.92;100.18
;;;;;-0.28;-2.05;-84.16;0.15;0.83;-94.87;-84.51;-158.28;-30.04;27.58
1643;1;-1.050;1.750;-3.735;1.19;-0.30;86.86;1.64;4.23;55.57;125.96;-39.70;88.63;105.91
;;;;;-0.31;-2.34;-81.35;0.13;0.82;-95.43;-86.80;-153.09;-33.80;27.88
1644;1;-1.050;1.850;-3.754;1.19;-0.31;86.33;1.83;3.83;51.21;125.44;-42.85;89.16;109.43
;;;;;-0.52;-2.63;-78.89;0.12;0.81;-99.22;-88.29;-147.72;-89.93;27.22
1645;1;-1.050;1.950;-3.772;1.25;-0.29;84.72;2.01;3.44;46.91;124.39;-44.31;72.44;110.34
;;;;;-0.75;-2.92;-76.20;0.10;0.79;-108.59;-88.83;-142.22;-87.97;28.62
1646;1;-1.150;0.050;-3.446;4.55;-0.36;86.62;4.03;15.60;179.10;63.57;-49.98;68.16;155.61
;;;;;0.53;-3.76;-89.42;0.60;2.08;-176.65;-50.38;-330.48;-43.20;38.07
1647;1;-1.150;0.150;-3.464;5.17;-0.36;87.70;3.90;11.62;179.89;79.32;-60.57;57.65;134.23
;;;;;0.39;-2.69;-54.52;0.49;1.44;-170.81;-40.98;-293.15;-43.29;28.75
1648;1;-1.150;0.250;-3.482;5.10;-0.29;88.91;3.25;8.53;178.33;87.79;-52.97;89.35;116.36
;;;;;0.12;-1.97;-60.15;0.35;0.90;-179.23;-38.02;-262.02;-42.76;26.64
1649;1;-1.150;0.350;-3.500;4.76;0.13;89.98;2.70;5.54;170.54;91.52;-44.93;47.07;100.98
;;;;;-0.29;-2.05;-89.63;0.32;0.84;-178.50;-38.80;-235.40;-47.79;23.36
1650;1;-1.150;0.450;-3.518;4.46;-0.19;89.44;2.38;4.37;175.41;94.28;51.67;43.20;86.77
;;;;;-0.46;-2.13;-87.83;0.27;0.54;-176.59;-39.79;-211.88;-48.32;20.75
1651;1;-1.150;0.550;-3.535;4.06;-0.15;89.33;2.09;5.05;178.43;107.79;59.51;32.79;75.93
;;;;;-0.55;-2.13;-87.48;0.23;0.48;-175.81;-43.30;-191.03;-58.05;18.87
1652;1;-1.150;0.650;-3.553;3.63;-0.12;88.94;1.85;5.98;171.48;115.88;66.76;37.53;73.53
;;;;;-0.59;-2.10;-86.72;0.21;0.50;-177.56;-47.74;-181.60;-43.37;18.65
1653;1;-1.150;0.750;-3.571;3.18;-0.14;83.01;1.64;6.57;166.91;119.82;73.08;43.35;70.18
;;;;;-0.60;-2.03;-88.88;0.21;0.68;-176.00;-50.98;-182.01;-38.79;19.74
1654;1;-1.150;0.850;-3.589;2.74;-0.17;84.23;1.44;6.67;175.07;121.25;77.96;50.03;66.28
;;;;;-0.59;-1.93;-87.51;0.21;0.77;-162.64;-48.48;-181.05;-34.25;17.91
1655;1;-1.150;0.950;-3.607;2.29;-0.19;89.53;1.25;6.50;176.50;119.94;80.67;56.66;62.06
;;;;;-0.55;-1.81;-84.90;0.22;0.82;-170.87;-54.79;-178.91;-29.25;18.33
1656;1;-1.150;1.050;-3.625;1.86;-0.24;88.93;1.08;6.30;162.23;118.92;80.49;62.51;57.76
;;;;;-0.50;-1.67;-83.82;0.22;0.84;-172.27;-60.49;-176.01;-23.69;18.70
1657;1;-1.150;1.150;-3.642;1.46;-0.26;89.72;0.96;5.93;168.63;119.88;77.18;67.24;59.21
;;;;;-0.32;-1.54;-89.24;0.24;0.88;-155.27;-66.56;-172.64;-17.59;25.98
1658;1;-1.150;1.250;-3.660;1.08;-0.28;89.98;1.03;5.54;175.27;120.11;70.97;71.37;66.38
;;;;;-0.23;-1.37;-89.53;0.21;0.88;-114.52;-71.70;-168.50;-16.58;26.73
1659;1;-1.150;1.350;-3.678;0.89;-0.28;89.99;1.13;5.29;76.39;120.32;63.08;74.68;74.09
;;;;;-0.24;-1.46;-87.68;0.17;0.87;-173.40;-76.10;-164.13;-17.74;27.40
1660;1;-1.150;1.450;-3.696;0.91;-0.31;89.01;1.26;5.04;69.14;120.57;54.38;77.42;81.78
;;;;;-0.28;-1.72;-88.81;0.15;0.89;-137.52;-79.90;-159.66;-19.96;21.92
1661;1;-1.150;1.550;-3.714;0.96;-0.33;81.56;1.41;4.71;65.37;120.70;45.42;79.89;88.97
;;;;;-0.32;-1.99;-89.70;0.14;0.88;-93.17;-83.05;-155.04;-22.78;26.75
1662;1;-1.150;1.650;-3.731;1.05;-0.31;81.80;1.56;4.31;60.19;120.47;-39.46;82.21;95.09
;;;;;-0.36;-2.26;-87.59;0.14;0.83;-94.15;-85.47;-150.17;-26.26;28.71
1663;1;-1.150;1.750;-3.749;1.12;-0.33;81.58;1.73;3.91;55.06;119.78;-40.95;85.54;99.55
;;;;;-0.56;-2.53;-85.33;0.14;0.82;-95.12;-87.04;-145.06;-30.42;28.56
1664;1;-1.150;1.850;-3.767;1.19;-0.34;80.68;1.91;3.52;49.91;118.65;-42.52;86.50;101.82
;;;;;-0.79;-2.80;-82.14;0.13;0.80;-96.04;-87.66;-139.72;-35.17;27.61
1665;1;-1.150;1.950;-3.785;1.28;-0.23;78.73;2.09;3.37;44.74;120.31;-42.51;89.56;101.52
;;;;;-1.00;-3.07;-79.39;0.11;0.77;-99.40;-89.61;-134.14;-40.23;26.03
1666;1;-1.250;0.050;-3.471;4.14;-0.33;88.18;3.69;12.45;173.41;67.66;-36.54;66.30;148.99
;;;;;0.41;-3.35;-54.86;0.52;1.81;-179.94;-42.39;-316.96;-41.69;35.12
1667;1;-1.250;0.150;-3.488;4.62;-0.33;86.01;3.47;9.79;178.27;81.47;-52.72;57.60;131.43
;;;;;0.45;-2.33;-54.70;0.43;1.00;-177.84;-34.74;-286.77;-42.31;29.39
1668;1;-1.250;0.250;-3.505;4.38;-0.24;87.21;2.84;6.53;179.68;88.70;-50.13;51.98;115.80
;;;;;0.16;-1.71;-65.07;0.31;0.67;-179.98;-34.34;-259.10;-46.71;25.17
1669;1;-1.250;0.350;-3.523;4.18;-0.22;88.88;2.49;4.59;177.24;92.11;-42.83;47.49;102.13
;;;;;-0.22;-1.85;-72.00;0.29;0.35;-179.41;-35.82;-235.96;-42.26;22.13
1670;1;-1.250;0.450;-3.540;3.86;-0.17;88.57;2.19;4.83;179.03;97.04;42.98;43.70;89.60
;;;;;-0.33;-1.91;-89.90;0.25;0.55;-175.12;-37.11;-215.22;-41.09;19.80
1671;1;-1.250;0.550;-3.557;3.49;-0.14;79.10;1.94;5.68;171.92;111.38;50.88;40.45;78.16
;;;;;-0.44;-1.92;-88.12;0.21;0.54;-179.73;-40.16;-196.48;-40.43;18.34
1672;1;-1.250;0.650;-3.574;3.09;-0.13;84.93;1.71;6.35;174.31;120.28;57.85;37.70;68.90
;;;;;-0.50;-1.89;-83.51;0.20;0.64;-168.94;-43.60;-179.42;-38.41;18.30
1673;1;-1.250;0.750;-3.591;2.67;-0.16;87.68;1.51;6.52;176.91;124.82;63.74;41.79;63.05
;;;;;-0.53;-1.82;-81.30;0.19;0.74;-175.45;-45.84;-169.44;-35.16;19.42
1674;1;-1.250;0.850;-3.609;2.25;-0.18;81.83;1.31;6.37;175.38;125.98;68.23;47.13;59.78
;;;;;-0.53;-1.73;-89.62;0.20;0.67;-178.70;-49.87;-169.44;-32.16;20.51
1675;1;-1.250;0.950;-3.626;1.84;-0.20;87.95;1.12;6.16;161.60;124.73;70.95;52.58;56.17
;;;;;-0.52;-1.62;-86.97;0.20;0.76;-172.61;-55.92;-168.15;-27.54;18.14
1676;1;-1.250;1.050;-3.643;1.43;-0.23;85.96;0.95;5.88;166.66;122.32;71.52;57.67;58.28
;;;;;-0.48;-1.50;-88.82;0.19;0.70;-165.14;-61.80;-165.90;-19.49;18.54
1677;1;-1.250;1.150;-3.660;1.06;-0.28;89.13;1.00;5.53;169.06;121.17;69.77;61.83;62.12
;;;;;-0.32;-1.37;-85.88;0.22;0.86;-151.37;-67.29;-162.98;-17.33;25.25
1678;1;-1.250;1.250;-3.677;0.82;-0.30;89.67;1.08;5.34;172.77;119.87;65.61;65.83;66.98
;;;;;-0.26;-1.45;-89.08;0.20;0.91;-126.51;-72.44;-159.56;-17.35;26.03
1679;1;-1.250;1.350;-3.695;0.82;-0.32;88.98;1.20;5.09;105.67;118.81;59.55;69.07;73.26
;;;;;-0.29;-1.70;-89.41;0.17;0.94;-177.46;-76.64;-155.79;-16.94;23.95
1680;1;-1.250;1.450;-3.712;0.86;-0.33;89.13;1.33;4.75;76.83;117.86;52.25;72.12;79.67
;;;;;-0.34;-1.96;-89.27;0.13;0.88;-163.37;-80.34;-151.73;-16.10;27.32
1681;1;-1.250;1.550;-3.729;0.91;-0.35;87.31;1.48;4.35;66.54;116.79;44.35;74.88;85.53
;;;;;-0.38;-2.22;-88.59;0.14;0.86;-143.24;-83.48;-147.41;-16.38;27.75
1682;1;-1.250;1.650;-3.746;0.99;-0.35;89.30;1.64;3.96;60.72;115.50;-38.71;77.12;90.29
;;;;;-0.59;-2.48;-88.88;0.14;0.81;-112.20;-85.97;-142.83;-18.91;27.99
1683;1;-1.250;1.750;-3.763;1.07;-0.36;76.71;1.80;3.57;54.75;113.96;-40.32;79.75;93.38
;;;;;-0.82;-2.73;-89.60;0.14;0.80;-94.70;-87.77;-138.00;-23.01;27.99
1684;1;-1.250;1.850;-3.780;1.16;-0.27;75.65;1.97;3.19;48.65;112.19;-42.03;82.64;94.30
;;;;;-1.03;-2.99;-87.46;0.13;0.77;-96.11;-88.81;-132.88;-28.57;27.71
1685;1;-1.250;1.950;-3.798;1.26;-0.25;75.33;2.15;3.48;42.48;115.68;-43.85;86.04;92.69
;;;;;-1.22;-3.23;-86.66;0.12;0.74;-97.71;-88.93;-127.45;-35.62;26.38
1686;1;-1.350;0.050;-3.496;3.51;-0.19;86.02;3.12;10.50;178.69;70.79;-30.62;64.44;141.95
;;;;;0.37;-2.83;-56.47;0.43;1.35;-174.78;-34.42;-302.16;-44.28;25.95
1687;1;-1.350;0.150;-3.512;3.98;-0.27;84.40;3.02;8.40;177.75;82.26;-37.04;56.86;128.36
;;;;;0.42;-2.06;-62.11;0.38;0.77;-179.88;-31.70;-279.67;-41.58;27.64
1688;1;-1.350;0.250;-3.529;3.90;-0.21;85.50;2.64;5.02;177.48;89.08;-45.85;51.87;114.49
;;;;;0.23;-1.57;-73.14;0.29;0.41;-174.34;-27.52;-255.80;-42.29;22.20
1689;1;-1.350;0.350;-3.545;3.68;-0.20;87.48;2.34;4.27;179.99;92.89;-41.01;33.97;102.97
;;;;;-0.12;-1.69;-19.10;0.26;0.51;-177.89;-33.45;-236.39;-42.04;21.03
1690;1;-1.350;0.450;-3.562;3.35;-0.16;87.64;2.07;5.09;179.44;101.05;-35.41;43.89;91.89
;;;;;-0.21;-1.74;-89.61;0.25;0.59;-178.71;-34.72;-217.88;-40.94;18.89
1691;1;-1.350;0.550;-3.579;3.00;-0.13;76.95;1.84;5.90;170.42;115.72;41.08;40.68;81.81
;;;;;-0.33;-1.75;-88.69;0.22;0.55;-175.02;-37.47;-201.09;-39.14;17.69
1692;1;-1.350;0.650;-3.595;2.61;-0.14;77.67;1.62;6.20;177.94;124.86;48.01;37.87;72.84
;;;;;-0.41;-1.71;-84.91;0.20;0.67;-179.67;-39.97;-185.59;-36.70;20.27
1693;1;-1.350;0.750;-3.612;2.20;-0.17;83.73;1.40;6.13;173.53;129.34;53.68;40.09;67.66
;;;;;-0.45;-1.64;-83.36;0.19;0.73;-175.97;-43.70;-171.66;-33.95;19.00
1694;1;-1.350;0.850;-3.628;1.80;-0.19;86.98;1.20;5.97;159.34;130.20;58.03;44.38;63.86
;;;;;-0.47;-1.55;-81.52;0.19;0.70;-171.11;-50.15;-159.64;-30.34;20.08
1695;1;-1.350;0.950;-3.645;1.41;-0.21;80.55;1.01;5.77;163.65;128.39;60.89;48.86;61.53
;;;;;-0.47;-1.45;-89.87;0.19;0.72;-169.13;-56.38;-158.18;-27.92;17.84
1696;1;-1.350;1.050;-3.661;1.05;-0.29;87.97;0.98;5.50;168.37;125.00;62.09;52.84;62.15
;;;;;-0.37;-1.35;-86.80;0.22;0.82;-169.82;-61.92;-156.74;-23.53;18.27
1697;1;-1.350;1.150;-3.678;0.73;-0.30;86.39;1.04;5.28;159.92;122.07;61.44;55.55;64.95
;;;;;-0.32;-1.46;-88.56;0.19;0.82;-161.37;-67.30;-154.43;-17.33;18.61
1698;1;-1.350;1.250;-3.695;0.71;-0.32;88.14;1.14;5.08;178.88;119.63;58.85;60.19;68.76
;;;;;-0.29;-1.69;-85.82;0.17;0.86;-130.37;-71.93;-151.65;-14.52;25.24
1699;1;-1.350;1.350;-3.711;0.73;-0.34;89.91;1.26;4.76;178.75;117.28;54.47;64.09;72.92
;;;;;-0.34;-1.94;-88.84;0.16;0.90;-174.23;-76.00;-148.44;-17.13;25.97
1700;1;-1.350;1.450;-3.728;0.77;-0.37;89.51;1.40;4.37;175.95;114.93;48.69;67.03;78.02
;;;;;-0.40;-2.19;-88.77;0.14;0.91;-173.51;-79.46;-144.86;-16.41;26.54
1701;1;-1.350;1.550;-3.744;0.83;-0.37;88.51;1.54;3.99;105.00;112.58;42.01;69.78;82.52
;;;;;-0.60;-2.45;-88.41;0.15;0.81;-163.11;-82.31;-141.00;-15.32;26.95
1702;1;-1.350;1.650;-3.761;0.91;-0.38;89.74;1.69;3.60;75.08;110.23;-37.85;72.48;85.88
;;;;;-0.84;-2.69;-89.93;0.16;0.80;-147.93;-84.57;-136.90;-13.87;27.15
1703;1;-1.350;1.750;-3.777;1.00;-0.30;88.55;1.85;3.32;54.75;107.84;-39.55;75.29;87.58
;;;;;-1.06;-2.94;-89.82;0.15;0.77;-125.50;-86.24;-132.55;-12.15;27.11
1704;1;-1.350;1.850;-3.794;1.10;-0.28;88.10;2.02;3.47;47.49;105.42;-41.38;78.42;87.09
;;;;;-1.25;-3.17;-89.16;0.14;0.74;-97.72;-87.26;-127.93;-11.88;26.80
1705;1;-1.350;1.950;-3.810;1.20;-0.27;89.92;2.19;3.63;40.11;110.66;-30.52;82.14;84.07
;;;;;-1.40;-3.40;-86.36;0.13;0.70;-98.24;-87.51;-122.99;-13.48;26.20
1706;1;-1.450;0.050;-3.520;2.98;0.17;83.95;2.69;7.59;174.63;75.74;-25.55;61.98;135.48
;;;;;0.35;-2.47;-58.88;0.38;0.89;-179.50;-26.60;-288.01;-49.75;19.05
1707;1;-1.450;0.150;-3.536;3.47;-0.21;82.62;2.75;7.22;176.55;82.35;-24.16;55.88;124.19
;;;;;0.41;-2.04;-69.82;0.34;0.61;-175.93;-25.04;-270.74;-40.40;25.83
1708;1;-1.450;0.250;-3.552;3.44;-0.17;83.86;2.47;4.42;176.12;89.45;-40.01;33.21;113.20
;;;;;0.42;-1.51;-21.34;0.27;0.86;-177.66;-25.92;-252.32;-41.55;22.43
1709;1;-1.450;0.350;-3.568;3.25;-0.14;86.17;2.24;4.42;179.33;93.66;-38.98;32.42;103.27
;;;;;0.12;-1.57;-21.66;0.20;0.73;-179.02;-29.54;-236.08;-41.51;19.28
1710;1;-1.450;0.450;-3.584;2.94;-0.14;89.48;2.00;5.23;177.45;105.55;-34.21;32.39;93.51
;;;;;-0.16;-1.61;-88.95;0.26;0.59;-174.46;-33.48;-219.90;-40.44;18.82
1711;1;-1.450;0.550;-3.600;2.57;-0.14;75.07;1.77;5.75;168.02;120.09;31.02;32.54;84.62
;;;;;-0.29;-1.60;-89.32;0.25;0.63;-175.78;-35.48;-204.73;-38.58;18.07
1712;1;-1.450;0.650;-3.616;2.19;-0.16;89.91;1.54;5.81;178.77;128.98;38.02;37.71;76.76
;;;;;-0.39;-1.56;-84.30;0.24;0.71;-166.46;-37.10;-190.63;-35.87;19.08
1713;1;-1.450;0.750;-3.632;1.79;-0.23;76.05;1.32;5.71;173.28;133.06;43.67;37.76;71.56
;;;;;-0.44;-1.48;-87.17;0.24;0.81;-175.14;-43.17;-177.77;-32.77;19.45
1714;1;-1.450;0.850;-3.648;1.41;-0.27;83.11;1.12;5.54;165.62;133.43;48.05;41.70;68.36
;;;;;-0.43;-1.40;-84.19;0.17;0.73;-171.84;-49.56;-166.49;-30.45;20.59
1715;1;-1.450;0.950;-3.664;1.05;-0.29;86.90;0.98;5.35;169.26;131.04;51.07;45.38;66.36
;;;;;-0.38;-1.33;-81.32;0.22;0.75;-164.39;-55.28;-156.76;-28.54;20.55
1716;1;-1.450;1.050;-3.680;0.71;-0.31;84.86;1.01;5.16;173.44;126.86;52.68;49.06;65.49
;;;;;-0.31;-1.49;-89.41;0.20;0.87;-153.86;-60.36;-148.73;-25.11;17.91
1717;1;-1.450;1.150;-3.696;0.58;-0.33;88.57;1.08;5.01;176.37;122.75;52.80;50.82;67.60
;;;;;-0.41;-1.70;-76.69;0.16;0.71;-163.15;-64.85;-147.13;-20.80;18.30
1718;1;-1.450;1.250;-3.712;0.58;-0.35;85.08;1.19;4.73;167.85;119.28;51.35;54.40;70.54
;;;;;-0.36;-1.94;-88.47;0.15;0.69;-176.92;-69.07;-144.99;-18.05;18.62
1719;1;-1.450;1.350;-3.728;0.60;-0.37;88.18;1.31;4.36;174.75;115.60;48.35;59.14;73.90
