Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;Querkräfte [kN/m];;Normalkräfte [kN/m];;
1484;1;-0.250;1.850;-3.646;1.97;1.60;0.77;2.32;2.14;57.69;59.50;46.28
;;;;;-1.24;-1.18;-1.27;-4.40;-3.73;-123.35;-97.55;-98.52
1485;1;-0.250;1.950;-3.670;2.12;1.38;0.74;2.00;1.89;59.25;48.59;52.56
;;;;;-1.29;-1.55;-1.24;-5.27;-4.25;-124.60;-92.97;-109.53
1486;1;-0.350;0.050;-3.249;4.05;15.32;6.51;49.45;83.43;51.45;-85.49;131.62
;;;;;-16.21;-19.10;-4.82;-66.26;-11.14;-247.77;-402.86;-39.15
1487;1;-0.350;0.150;-3.272;7.01;19.14;4.50;33.18;53.69;59.17;-87.57;83.23
;;;;;-16.36;-14.45;-3.56;-34.64;-20.17;-191.75;-368.98;-65.08
1488;1;-0.350;0.250;-3.295;7.08;17.53;3.36;20.28;33.90;68.27;-78.28;41.35
;;;;;-12.00;-10.54;-2.82;-11.45;-28.31;-148.54;-332.45;-82.81
1489;1;-0.350;0.350;-3.317;6.20;14.79;2.50;12.33;20.69;63.38;95.98;20.29
;;;;;-8.86;-8.18;-2.20;-3.21;-21.74;-118.38;-298.90;-90.94
1490;1;-0.350;0.450;-3.340;4.99;12.49;1.82;10.21;13.03;51.83;109.57;12.45
;;;;;-6.06;-6.83;-1.77;-3.97;-14.22;-95.92;-272.36;-95.43
1491;1;-0.350;0.550;-3.363;3.85;10.71;1.28;8.99;8.24;43.02;116.76;6.95
;;;;;-3.94;-5.96;-1.44;-7.05;-8.41;-78.26;-252.04;-94.97
1492;1;-0.350;0.650;-3.386;2.95;9.32;1.02;8.28;5.37;48.62;117.58;-7.66
;;;;;-2.52;-5.36;-1.16;-7.90;-5.77;-64.04;-237.35;-91.24
1493;1;-0.350;0.750;-3.409;2.24;8.16;0.87;7.74;3.70;51.62;113.69;-7.66
;;;;;-1.62;-4.90;-0.94;-7.62;-4.02;-57.66;-227.12;-86.33
1494;1;-0.350;0.850;-3.431;1.72;7.20;0.79;7.18;2.66;52.59;106.49;-7.61
;;;;;-1.07;-4.50;-0.89;-6.90;-3.00;-65.24;-217.45;-81.30
1495;1;-0.350;0.950;-3.454;1.36;6.31;0.75;6.59;2.20;51.73;97.13;-10.42
;;;;;-0.73;-4.14;-0.88;-6.13;-2.50;-73.22;-208.08;-76.74
1496;1;-0.350;1.050;-3.477;1.12;5.55;0.74;6.32;2.83;48.43;86.46;-8.91
;;;;;-0.53;-3.78;-0.96;-5.49;-2.35;-80.31;-198.52;-72.55
1497;1;-0.350;1.150;-3.500;0.93;4.71;0.72;5.59;1.75;43.08;75.02;-7.42
;;;;;-0.38;-3.32;-1.00;-4.81;-2.32;-86.43;-188.35;-69.45
1498;1;-0.350;1.250;-3.523;0.87;4.10;0.74;4.51;1.19;48.93;64.00;14.86
;;;;;-0.41;-2.96;-1.08;-3.90;-2.81;-93.46;-178.71;-66.59
1499;1;-0.350;1.350;-3.545;0.84;3.57;0.78;3.98;1.67;54.28;63.39;22.48
;;;;;-0.55;-2.63;-1.16;-3.00;-2.98;-101.42;-168.97;-64.51
1500;1;-0.350;1.450;-3.568;1.00;3.09;0.82;3.77;2.38;58.92;71.00;29.74
;;;;;-0.71;-2.32;-1.22;-2.53;-3.33;-109.71;-158.82;-63.05
1501;1;-0.350;1.550;-3.591;1.19;2.58;0.83;3.61;2.98;62.76;75.86;36.67
;;;;;-0.86;-1.96;-1.22;-2.20;-4.12;-117.98;-148.27;-67.56
1502;1;-0.350;1.650;-3.614;1.41;2.11;0.84;3.41;3.21;66.10;78.21;43.14
;;;;;-1.03;-1.64;-1.21;-1.97;-4.43;-125.99;-137.69;-75.88
1503;1;-0.350;1.750;-3.637;1.64;1.73;0.84;3.13;2.86;68.56;77.94;49.21
;;;;;-1.19;-1.36;-1.20;-2.92;-4.11;-132.05;-127.12;-85.00
1504;1;-0.350;1.850;-3.660;1.85;1.41;0.81;2.64;2.42;69.85;75.41;54.96
;;;;;-1.31;-1.41;-1.17;-3.92;-3.77;-135.02;-116.64;-94.86
1505;1;-0.350;1.950;-3.682;2.01;1.14;0.78;2.09;2.00;69.98;70.68;60.39
;;;;;-1.39;-1.82;-1.11;-4.90;-3.87;-134.00;-106.34;-105.03
1506;1;-0.450;0.050;-3.274;3.43;12.07;5.59;37.70;65.19;49.03;-70.91;129.67
;;;;;-12.15;-13.14;-3.32;-60.26;-11.33;-226.38;-362.17;-41.23
1507;1;-0.450;0.150;-3.296;5.04;15.42;3.87;18.23;33.52;59.43;-71.11;86.62
;;;;;-12.75;-11.12;-2.65;-30.18;-10.93;-174.68;-337.25;-60.22
1508;1;-0.450;0.250;-3.318;4.60;14.38;2.74;17.84;24.03;62.41;81.33;51.93
;;;;;-8.88;-8.59;-2.08;-14.78;-17.59;-132.75;-313.43;-75.15
1509;1;-0.450;0.350;-3.340;3.83;12.57;1.96;10.40;14.69;55.00;100.76;31.05
;;;;;-6.56;-6.84;-1.59;-5.36;-13.87;-101.55;-289.97;-81.69
1510;1;-0.450;0.450;-3.362;3.03;10.92;1.34;4.96;10.00;42.22;113.06;18.45
;;;;;-4.67;-5.76;-1.20;-0.98;-9.18;-78.75;-269.64;-85.24
1511;1;-0.450;0.550;-3.385;2.33;9.59;0.90;4.68;6.80;48.09;119.09;12.18
;;;;;-3.14;-5.07;-0.95;-2.26;-5.39;-61.79;-252.97;-85.28
1512;1;-0.450;0.650;-3.407;1.77;8.48;0.64;5.00;4.66;50.96;120.03;6.78
;;;;;-2.03;-4.64;-0.76;-3.67;-3.79;-56.01;-239.06;-83.36
1513;1;-0.450;0.750;-3.429;1.38;7.57;0.54;5.00;3.22;51.41;117.76;3.85
;;;;;-1.38;-4.30;-0.63;-4.07;-2.78;-63.80;-227.42;-79.97
1514;1;-0.450;0.850;-3.451;1.12;6.71;0.50;4.79;2.23;49.80;112.39;3.54
;;;;;-0.95;-4.01;-0.62;-4.04;-2.49;-72.02;-219.34;-76.16
1515;1;-0.450;0.950;-3.473;0.94;5.96;0.50;4.71;1.98;47.83;104.72;-7.22
;;;;;-0.67;-3.74;-0.67;-3.87;-2.48;-79.43;-211.10;-72.27
1516;1;-0.450;1.050;-3.495;0.81;5.10;0.51;4.23;0.98;54.41;95.35;-6.29
;;;;;-0.49;-3.35;-0.73;-3.55;-2.21;-86.06;-202.27;-69.21
1517;1;-0.450;1.150;-3.518;0.79;4.45;0.55;3.57;1.77;60.20;85.62;13.26
;;;;;-0.39;-3.04;-0.82;-3.26;-2.86;-93.55;-194.03;-66.36
1518;1;-0.450;1.250;-3.540;0.81;3.82;0.61;3.32;2.04;65.42;75.79;21.01
;;;;;-0.34;-2.71;-0.90;-2.79;-3.46;-101.94;-185.48;-64.27
1519;1;-0.450;1.350;-3.562;0.85;3.28;0.67;3.02;2.57;69.97;66.30;28.54
;;;;;-0.41;-2.41;-0.98;-2.19;-4.40;-110.76;-176.70;-62.59
1520;1;-0.450;1.450;-3.584;0.88;2.82;0.73;2.85;3.00;73.83;67.38;35.78
;;;;;-0.61;-2.14;-1.05;-1.68;-4.93;-119.72;-167.81;-61.38
1521;1;-0.450;1.550;-3.606;1.01;2.34;0.78;2.97;3.33;76.88;75.88;42.67
;;;;;-0.81;-1.84;-1.07;-1.67;-5.14;-128.33;-158.53;-60.95
1522;1;-0.450;1.650;-3.629;1.23;1.87;0.80;2.99;3.15;79.03;82.20;48.99
;;;;;-0.99;-1.54;-1.07;-1.75;-4.82;-135.60;-148.92;-68.73
1523;1;-0.450;1.750;-3.651;1.46;1.49;0.81;2.87;2.76;80.07;86.44;54.73
;;;;;-1.16;-1.28;-1.05;-2.55;-4.33;-140.25;-139.21;-77.12
1524;1;-0.450;1.850;-3.673;1.67;1.15;0.80;2.61;2.36;79.92;88.72;59.95
;;;;;-1.30;-1.63;-1.02;-3.45;-3.93;-141.24;-129.42;-86.07
1525;1;-0.450;1.950;-3.695;1.84;0.86;0.76;2.18;2.11;78.77;88.99;64.76
;;;;;-1.41;-2.03;-0.96;-4.36;-3.78;-137.78;-119.65;-95.47
1526;1;-0.550;0.050;-3.298;2.77;9.95;4.97;27.37;52.03;46.05;-61.77;131.40
;;;;;-9.29;-9.34;-2.55;-53.08;-12.21;-205.95;-337.61;-43.13
1527;1;-0.550;0.150;-3.320;3.69;12.87;3.38;17.47;21.20;56.31;-60.48;88.07
;;;;;-9.82;-8.46;-1.93;-26.90;-6.77;-157.61;-305.76;-56.41
1528;1;-0.550;0.250;-3.341;3.01;12.12;2.30;17.75;16.08;55.13;84.26;58.82
;;;;;-6.71;-6.81;-1.47;-15.16;-11.00;-117.72;-290.94;-68.03
1529;1;-0.550;0.350;-3.363;2.31;10.83;1.57;10.46;10.35;45.83;102.50;40.30
;;;;;-4.65;-5.60;-1.10;-7.08;-8.27;-87.33;-275.54;-73.05
1530;1;-0.550;0.450;-3.385;1.76;9.62;1.02;5.20;7.47;46.85;114.24;28.44
;;;;;-3.41;-4.84;-0.81;-2.82;-5.18;-65.20;-261.03;-76.28
1531;1;-0.550;0.550;-3.406;1.33;8.55;0.63;2.29;5.40;50.75;120.20;19.08
;;;;;-2.37;-4.36;-0.60;-0.62;-3.18;-55.30;-248.02;-76.02
1532;1;-0.550;0.650;-3.428;1.03;7.69;0.40;2.54;3.86;51.68;121.64;13.52
;;;;;-1.61;-4.04;-0.48;-1.13;-2.38;-61.10;-236.60;-74.35
1533;1;-0.550;0.750;-3.449;0.83;6.88;0.32;2.92;2.70;50.37;119.51;8.87
;;;;;-1.13;-3.78;-0.42;-1.81;-2.53;-68.96;-226.44;-71.75
1534;1;-0.550;0.850;-3.471;0.71;6.18;0.31;3.13;1.98;57.57;114.62;8.05
;;;;;-0.81;-3.59;-0.44;-2.07;-2.58;-76.42;-217.06;-68.91
1535;1;-0.550;0.950;-3.492;0.63;5.34;0.32;2.95;1.14;64.13;107.43;7.17
;;;;;-0.59;-3.28;-0.49;-2.21;-2.09;-83.41;-209.63;-66.47
1536;1;-0.550;1.050;-3.514;0.65;4.70;0.36;2.54;2.08;69.93;99.70;9.94
;;;;;-0.48;-3.04;-0.57;-2.19;-2.91;-91.13;-202.92;-64.00
1537;1;-0.550;1.150;-3.535;0.72;4.07;0.43;2.51;2.48;75.26;91.27;16.47
;;;;;-0.42;-2.77;-0.67;-2.13;-4.27;-99.79;-195.86;-62.09
1538;1;-0.550;1.250;-3.557;0.80;3.48;0.50;2.50;2.59;79.81;82.48;24.09
;;;;;-0.39;-2.48;-0.75;-1.95;-5.19;-108.92;-188.34;-60.50
1539;1;-0.550;1.350;-3.579;0.88;2.95;0.57;2.51;3.05;83.62;73.89;31.54
;;;;;-0.37;-2.21;-0.82;-1.69;-5.59;-118.24;-180.59;-59.16
1540;1;-0.550;1.450;-3.600;0.94;2.49;0.64;2.52;3.19;86.54;65.77;38.69
;;;;;-0.59;-1.95;-0.88;-1.37;-5.59;-127.17;-172.55;-58.08
1541;1;-0.550;1.550;-3.622;0.97;2.03;0.70;2.67;3.18;88.44;75.40;45.41
;;;;;-0.79;-1.69;-0.91;-1.39;-5.35;-135.17;-164.20;-57.23
1542;1;-0.550;1.650;-3.643;1.08;1.58;0.73;2.81;2.96;89.17;84.92;51.54
;;;;;-0.97;-1.41;-0.91;-1.44;-4.88;-141.04;-155.45;-58.05
1543;1;-0.550;1.750;-3.665;1.28;1.20;0.74;2.73;2.63;88.78;92.71;57.01
;;;;;-1.13;-1.44;-0.89;-2.10;-4.44;-143.87;-146.49;-65.74
1544;1;-0.550;1.850;-3.686;1.48;0.87;0.74;2.49;2.43;87.42;98.80;61.92
;;;;;-1.26;-1.80;-0.85;-2.91;-4.20;-142.90;-137.45;-74.08
1545;1;-0.550;1.950;-3.708;1.68;0.59;0.72;2.13;2.32;85.45;103.21;66.40
;;;;;-1.40;-2.21;-0.81;-3.75;-4.13;-137.38;-128.36;-83.09
1546;1;-0.650;0.050;-3.323;2.25;8.42;4.35;19.26;41.68;46.13;-55.55;132.50
;;;;;-7.22;-7.06;-1.95;-43.71;-12.54;-186.62;-324.45;-45.32
1547;1;-0.650;0.150;-3.344;2.73;10.97;2.97;17.38;13.81;50.95;57.05;94.66
;;;;;-7.53;-6.49;-1.40;-25.43;-4.77;-140.83;-284.67;-53.62
1548;1;-0.650;0.250;-3.365;1.96;10.38;1.95;16.58;10.74;46.73;82.86;67.46
;;;;;-4.96;-5.40;-1.08;-15.81;-6.56;-103.37;-267.33;-61.68
1549;1;-0.650;0.350;-3.386;1.36;9.42;1.27;10.32;7.44;42.92;100.94;48.93
;;;;;-3.25;-4.60;-0.79;-8.25;-4.30;-74.89;-258.43;-65.30
1550;1;-0.650;0.450;-3.407;0.97;8.52;0.79;5.47;5.58;49.46;112.55;37.59
;;;;;-2.47;-4.12;-0.60;-3.57;-2.55;-57.75;-249.04;-67.26
1551;1;-0.650;0.550;-3.428;0.72;7.70;0.46;2.66;4.18;51.80;118.58;28.32
;;;;;-1.79;-3.79;-0.47;-1.28;-1.92;-59.04;-239.73;-67.56
1552;1;-0.650;0.650;-3.449;0.81;6.95;0.27;1.23;3.06;55.81;120.53;21.01
;;;;;-1.28;-3.57;-0.43;-0.24;-2.36;-65.69;-231.14;-65.92
1553;1;-0.650;0.750;-3.470;0.79;6.29;0.18;1.61;2.27;64.23;119.07;16.04
;;;;;-0.92;-3.41;-0.43;-0.54;-2.49;-72.73;-222.84;-63.90
1554;1;-0.650;0.850;-3.490;0.70;5.50;0.17;1.75;1.33;71.25;114.67;11.29
;;;;;-0.69;-3.17;-0.43;-0.89;-1.97;-79.71;-214.27;-61.85
1555;1;-0.650;0.950;-3.511;0.59;4.89;0.20;1.67;2.14;77.47;108.81;9.88
;;;;;-0.57;-2.99;-0.45;-1.23;-3.05;-87.42;-206.90;-59.76
1556;1;-0.650;1.050;-3.532;0.57;4.24;0.25;1.78;2.59;83.10;101.66;12.14
;;;;;-0.50;-2.75;-0.47;-1.39;-4.66;-95.97;-200.76;-58.20
1557;1;-0.650;1.150;-3.553;0.69;3.65;0.32;1.88;2.69;87.96;93.80;17.21
;;;;;-0.47;-2.51;-0.53;-1.43;-5.68;-105.11;-194.59;-56.69
1558;1;-0.650;1.250;-3.574;0.80;3.09;0.40;2.03;2.96;91.88;85.65;24.66
;;;;;-0.44;-2.25;-0.60;-1.43;-6.10;-114.45;-187.97;-55.44
1559;1;-0.650;1.350;-3.595;0.91;2.58;0.47;2.15;3.11;94.84;77.68;31.99
;;;;;-0.43;-2.00;-0.67;-1.23;-6.05;-123.61;-181.11;-54.31
1560;1;-0.650;1.450;-3.616;0.99;2.13;0.54;2.32;3.09;96.69;70.13;38.98
;;;;;-0.59;-1.76;-0.73;-1.07;-5.74;-131.93;-173.95;-53.27
1561;1;-0.650;1.550;-3.637;1.04;1.69;0.60;2.48;2.95;97.40;74.03;45.53
;;;;;-0.78;-1.52;-0.75;-1.04;-5.34;-138.65;-166.42;-52.37
1562;1;-0.650;1.650;-3.658;1.03;1.28;0.64;2.60;2.76;96.94;86.09;51.51
;;;;;-0.95;-1.28;-0.75;-1.08;-4.91;-142.98;-158.52;-51.65
1563;1;-0.650;1.750;-3.679;1.13;0.91;0.66;2.57;2.62;95.48;96.64;56.85
;;;;;-1.11;-1.59;-0.73;-1.58;-4.62;-144.06;-150.37;-52.28
1564;1;-0.650;1.850;-3.700;1.33;0.60;0.67;2.37;2.54;93.36;105.82;61.62
;;;;;-1.26;-1.96;-0.70;-2.33;-4.46;-141.37;-142.06;-60.29
1565;1;-0.650;1.950;-3.721;1.54;0.40;0.66;2.16;2.37;90.74;113.56;65.88
;;;;;-1.41;-2.36;-0.67;-3.17;-4.23;-133.83;-133.63;-69.34
1566;1;-0.750;0.050;-3.348;2.34;7.22;3.72;12.81;33.67;43.86;-50.93;132.29
;;;;;-5.74;-5.78;-1.47;-33.74;-11.21;-168.08;-311.68;-47.50
1567;1;-0.750;0.150;-3.368;2.03;9.39;2.53;17.04;10.11;44.44;52.72;99.53
;;;;;-5.75;-5.34;-1.06;-22.61;-3.28;-124.65;-275.19;-51.31
1568;1;-0.750;0.250;-3.388;1.28;8.96;1.66;14.86;7.72;38.00;77.74;74.31
;;;;;-3.63;-4.30;-0.82;-14.48;-3.21;-89.97;-243.54;-55.89
1569;1;-0.750;0.350;-3.409;0.77;8.23;1.05;9.39;5.39;45.92;96.36;56.08
;;;;;-2.22;-3.83;-0.61;-8.09;-1.97;-64.05;-239.96;-57.95
1570;1;-0.750;0.450;-3.429;0.49;7.58;0.65;5.47;4.16;50.85;108.28;45.55
;;;;;-1.76;-3.54;-0.49;-4.03;-1.46;-58.98;-234.96;-58.53
1571;1;-0.750;0.550;-3.449;0.65;6.88;0.38;2.87;3.15;57.66;114.70;36.76
;;;;;-1.33;-3.32;-0.44;-1.63;-2.02;-63.37;-229.16;-59.01
1572;1;-0.750;0.650;-3.470;0.77;6.28;0.21;1.46;2.44;67.28;117.08;29.68
;;;;;-1.03;-3.20;-0.43;-0.53;-2.33;-69.04;-223.13;-57.84
1573;1;-0.750;0.750;-3.490;0.75;5.57;0.12;1.11;1.47;75.35;116.06;23.89
;;;;;-0.82;-3.03;-0.44;-0.14;-1.82;-75.63;-216.32;-56.26
1574;1;-0.750;0.850;-3.510;0.66;4.99;0.09;1.40;2.05;82.33;112.71;19.33
;;;;;-0.69;-2.90;-0.47;-0.27;-3.18;-82.88;-210.13;-54.73
1575;1;-0.750;0.950;-3.530;0.53;4.37;0.12;1.54;2.50;88.65;107.57;15.05
;;;;;-0.57;-2.71;-0.52;-0.65;-4.83;-91.05;-203.68;-53.20
1576;1;-0.750;1.050;-3.551;0.52;3.77;0.17;1.61;2.68;93.99;101.07;12.53
;;;;;-0.54;-2.49;-0.56;-0.88;-5.97;-99.74;-197.03;-51.71
1577;1;-0.750;1.150;-3.571;0.66;3.21;0.23;1.57;2.75;98.40;93.90;16.66
;;;;;-0.52;-2.27;-0.59;-0.95;-6.43;-108.83;-191.05;-50.39
1578;1;-0.750;1.250;-3.591;0.80;2.69;0.31;1.74;3.01;101.62;86.41;23.17
;;;;;-0.51;-2.03;-0.60;-1.03;-6.40;-117.89;-185.27;-49.31
1579;1;-0.750;1.350;-3.612;0.91;2.19;0.38;1.96;2.99;103.74;78.97;30.34
;;;;;-0.49;-1.80;-0.59;-0.94;-6.06;-126.40;-179.06;-48.35
1580;1;-0.750;1.450;-3.632;1.02;1.76;0.44;2.11;2.91;104.63;71.91;37.17
;;;;;-0.60;-1.58;-0.58;-0.80;-5.70;-133.76;-172.68;-47.34
1581;1;-0.750;1.550;-3.652;1.08;1.35;0.50;2.28;2.76;104.22;71.57;43.60
;;;;;-0.79;-1.37;-0.60;-0.72;-5.28;-139.21;-165.98;-46.53
1582;1;-0.750;1.650;-3.673;1.09;0.97;0.54;2.37;2.65;102.64;85.47;49.52
;;;;;-0.95;-1.38;-0.60;-0.77;-4.94;-141.93;-158.88;-45.96
1583;1;-0.750;1.750;-3.693;1.07;0.63;0.57;2.36;2.62;100.40;98.35;54.80
;;;;;-1.11;-1.74;-0.59;-1.10;-4.74;-141.69;-151.57;-45.45
1584;1;-0.750;1.850;-3.713;1.20;0.35;0.59;2.31;2.52;97.62;110.06;59.47
;;;;;-1.27;-2.10;-0.57;-1.78;-4.48;-137.42;-143.97;-45.87
1585;1;-0.750;1.950;-3.734;1.41;0.38;0.58;2.20;2.27;94.30;120.43;63.96
;;;;;-1.43;-2.49;-0.53;-2.59;-4.13;-127.61;-136.11;-55.08
1586;1;-0.850;0.050;-3.372;2.30;6.21;3.05;7.54;28.35;40.61;-49.90;131.76
;;;;;-4.76;-4.74;-1.08;-23.96;-10.33;-150.20;-299.38;-49.31
1587;1;-0.850;0.150;-3.392;1.57;8.03;2.07;16.14;7.60;37.69;47.26;102.83
;;;;;-4.39;-4.38;-0.75;-19.30;-2.74;-109.30;-266.11;-49.03
1588;1;-0.850;0.250;-3.412;0.84;7.72;1.36;12.92;5.57;40.34;69.73;79.64
;;;;;-2.64;-3.53;-0.58;-12.54;-2.08;-77.73;-236.41;-50.41
1589;1;-0.850;0.350;-3.431;0.43;7.22;0.90;8.24;3.97;48.07;89.34;61.91
;;;;;-1.50;-3.21;-0.45;-7.27;-1.38;-63.38;-220.91;-50.94
1590;1;-0.850;0.450;-3.451;-0.25;6.70;0.63;5.11;3.08;55.14;101.98;52.34
;;;;;-1.25;-3.06;-0.40;-3.99;-1.80;-63.04;-219.88;-51.14
1591;1;-0.850;0.550;-3.471;0.55;6.15;0.45;2.92;2.45;66.46;108.92;44.12
;;;;;-1.03;-2.95;-0.39;-1.92;-2.16;-66.33;-217.06;-50.47
1592;1;-0.850;0.650;-3.490;0.66;5.47;0.29;1.55;1.54;75.81;111.56;37.76
;;;;;-0.88;-2.81;-0.41;-0.78;-1.63;-71.44;-212.58;-49.76
1593;1;-0.850;0.750;-3.510;0.64;4.97;0.16;1.00;1.92;84.09;111.45;32.34
;;;;;-0.79;-2.74;-0.47;-0.31;-3.22;-78.00;-208.50;-48.36
1594;1;-0.850;0.850;-3.530;0.55;4.38;0.09;1.27;2.33;91.38;108.70;27.55
;;;;;-0.71;-2.59;-0.52;-0.18;-4.92;-85.39;-203.54;-47.04
1595;1;-0.850;0.950;-3.550;0.45;3.83;0.08;1.48;2.54;97.69;104.18;23.85
;;;;;-0.61;-2.43;-0.59;-0.39;-6.16;-93.48;-198.27;-45.92
1596;1;-0.850;1.050;-3.569;0.48;3.29;0.10;1.63;2.56;102.80;98.36;20.22
;;;;;-0.57;-2.24;-0.65;-0.51;-6.66;-101.99;-192.67;-44.85
1597;1;-0.850;1.150;-3.589;0.63;2.77;0.16;1.68;2.81;106.76;91.75;16.60
;;;;;-0.57;-2.04;-0.70;-0.59;-6.61;-110.75;-186.73;-43.82
1598;1;-0.850;1.250;-3.609;0.77;2.27;0.22;1.61;2.88;109.32;84.77;20.03
;;;;;-0.56;-1.82;-0.72;-0.70;-6.32;-119.13;-180.78;-42.85
1599;1;-0.850;1.350;-3.628;0.90;1.81;0.29;1.76;2.84;110.42;77.77;27.06
;;;;;-0.55;-1.61;-0.72;-0.70;-5.95;-126.57;-175.28;-41.99
1600;1;-0.850;1.450;-3.648;1.02;1.40;0.35;1.94;2.74;110.38;71.12;33.75
;;;;;-0.63;-1.41;-0.71;-0.63;-5.56;-132.76;-169.57;-41.07
1601;1;-0.850;1.550;-3.668;1.09;1.02;0.40;2.09;2.59;108.99;67.80;40.10
;;;;;-0.80;-1.22;-0.67;-0.54;-5.16;-136.80;-163.51;-40.28
1602;1;-0.850;1.650;-3.687;1.12;0.66;0.45;2.17;2.59;106.66;83.17;45.96
;;;;;-0.96;-1.49;-0.61;-0.55;-4.94;-138.30;-157.11;-39.63
1603;1;-0.850;1.750;-3.707;1.12;0.35;0.48;2.18;2.54;103.82;97.83;51.29
;;;;;-1.12;-1.85;-0.54;-0.78;-4.70;-136.80;-150.50;-39.03
1604;1;-0.850;1.850;-3.727;1.09;0.33;0.50;2.20;2.37;100.43;111.62;56.38
;;;;;-1.28;-2.22;-0.47;-1.30;-4.35;-130.90;-143.60;-38.67
1605;1;-0.850;1.950;-3.746;1.28;0.36;0.50;2.20;2.12;96.42;124.23;60.96
;;;;;-1.43;-2.59;-0.41;-2.02;-3.95;-118.94;-136.37;-40.80
1606;1;-0.950;0.050;-3.397;2.17;5.61;2.53;5.44;23.40;37.10;-49.59;131.87
;;;;;-4.23;-3.85;-0.79;-18.44;-9.45;-132.95;-287.42;-50.48
1607;1;-0.950;0.150;-3.416;1.38;6.81;1.86;14.72;5.70;33.15;-43.56;104.76
;;;;;-3.47;-3.54;-0.48;-16.18;-1.99;-94.97;-257.45;-46.51
1608;1;-0.950;0.250;-3.435;0.58;6.64;1.32;11.02;4.03;43.79;59.73;83.63
;;;;;-1.95;-2.87;-0.38;-10.60;-1.67;-72.59;-231.02;-45.94
1609;1;-0.950;0.350;-3.454;0.34;6.28;0.97;7.16;2.96;49.65;80.59;67.39
;;;;;-1.08;-2.71;-0.35;-6.43;-1.88;-64.70;-206.27;-49.60
1610;1;-0.950;0.450;-3.473;0.20;5.90;0.72;4.68;2.42;61.82;94.03;57.83
;;;;;-0.89;-2.66;-0.37;-3.84;-2.13;-65.54;-204.05;-50.09
1611;1;-0.950;0.550;-3.492;0.44;5.29;0.52;2.83;1.55;72.84;101.49;50.71
;;;;;-0.81;-2.57;-0.36;-2.18;-1.62;-68.29;-203.24;-48.80
1612;1;-0.950;0.650;-3.511;0.51;4.84;0.38;1.71;1.76;82.58;105.10;44.86
;;;;;-0.77;-2.53;-0.40;-1.25;-3.16;-73.32;-201.94;-46.44
1613;1;-0.950;0.750;-3.530;0.48;4.33;0.26;1.09;2.10;91.32;105.57;40.18
;;;;;-0.74;-2.44;-0.49;-0.74;-4.88;-79.84;-199.35;-42.99
1614;1;-0.950;0.850;-3.550;0.40;3.81;0.15;1.23;2.29;98.73;103.38;36.08
;;;;;-0.69;-2.32;-0.57;-0.36;-6.17;-86.94;-195.73;-39.38
1615;1;-0.950;0.950;-3.569;0.34;3.30;0.10;1.46;2.33;104.87;99.34;32.56
;;;;;-0.63;-2.16;-0.66;-0.24;-6.71;-94.64;-191.45;-38.26
1616;1;-0.950;1.050;-3.588;0.44;2.80;0.10;1.65;2.58;109.70;94.01;29.71
;;;;;-0.61;-1.99;-0.73;-0.20;-6.69;-102.67;-186.68;-37.39
1617;1;-0.950;1.150;-3.607;0.58;2.31;0.09;1.75;2.72;112.95;87.87;26.96
;;;;;-0.61;-1.81;-0.79;-0.30;-6.48;-110.54;-181.47;-36.55
1618;1;-0.950;1.250;-3.626;0.72;1.86;0.15;1.73;2.73;114.84;81.32;23.96
;;;;;-0.61;-1.62;-0.83;-0.40;-6.14;-117.89;-176.01;-35.74
1619;1;-0.950;1.350;-3.645;0.85;1.43;0.20;1.61;2.69;115.16;74.72;22.50
;;;;;-0.61;-1.43;-0.84;-0.47;-5.77;-124.19;-170.32;-35.01
1620;1;-0.950;1.450;-3.664;0.98;1.05;0.26;1.74;2.57;114.21;68.43;29.12
;;;;;-0.67;-1.26;-0.84;-0.44;-5.38;-129.18;-165.09;-34.19
1621;1;-0.950;1.550;-3.683;1.06;0.70;0.31;1.88;2.50;112.07;62.70;35.44
;;;;;-0.82;-1.25;-0.81;-0.43;-5.07;-132.04;-159.66;-33.46
1622;1;-0.950;1.650;-3.702;1.12;0.37;0.36;1.96;2.51;109.29;79.20;41.43
;;;;;-0.98;-1.60;-0.77;-0.46;-4.86;-132.58;-153.96;-32.77
1623;1;-0.950;1.750;-3.721;1.15;0.28;0.40;2.05;2.38;105.96;95.29;47.11
;;;;;-1.14;-1.97;-0.72;-0.44;-4.52;-129.81;-147.99;-32.29
1624;1;-0.950;1.850;-3.740;1.13;0.31;0.42;2.13;2.17;101.97;110.72;52.24
;;;;;-1.29;-2.32;-0.66;-0.83;-4.11;-122.15;-141.67;-31.94
1625;1;-0.950;1.950;-3.759;1.16;0.34;0.42;2.17;1.94;97.43;125.26;56.76
;;;;;-1.44;-2.68;-0.59;-1.49;-3.71;-108.23;-135.00;-31.76
1626;1;-1.050;0.050;-3.422;2.00;5.02;2.42;3.74;19.06;33.71;-43.35;130.54
;;;;;-3.76;-3.08;-0.56;-15.51;-8.43;-116.40;-275.65;-50.79
1627;1;-1.050;0.150;-3.440;1.20;5.71;1.83;12.90;5.08;38.27;-43.02;105.55
;;;;;-2.80;-2.81;-0.42;-13.29;-2.53;-85.42;-249.28;-43.60
1628;1;-1.050;0.250;-3.459;0.51;5.66;1.35;9.46;3.50;46.43;48.59;86.55
